chemical_name	cas_no	Drug Name	CAS Number	UNII	Pharmacology Classification	Pharmacology Description	Indication
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate)		(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate)					
(1-(2-morpholin-4-yl-ethyl)-1H-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone		(1-(2-morpholinoethyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone	895155-26-7	5N69DXA53Z			
(1-(2,2-diphenyl-(1,3)dioxolan-4-yl)-ethyl)-dimethyl-amine		(1-(2,2-diphenyl-(1,3)dioxolan-4-yl)-ethyl)-dimethyl-amine					
(1-(4-fluorophenyl)-4a-methyl-5,6,7,8-tetrahydro-4H-benzo(f)indazol-5-yl)-(4-(trifluoromethyl)phenyl)methanol		(1-(4-fluorophenyl)-4a-methyl-5,6,7,8-tetrahydro-4H-benzo(f)indazol-5-yl)-(4-(trifluoromethyl)phenyl)methanol					
(1-hexyl-1H-indol-3-yl)-1-naphthalenylmethanone		(1-hexyl-1H-indol-3-yl)(naphthalen-1-yl)methanone	209414-08-4	0Z73828O4J			
(1-hydroxy-2-oxo-3-(N-methyl-3-aminopropyl)-3-methyl-3-aminopropyl)-3-methyl-1-triazene		(1-hydroxy-2-oxo-3-(N-methyl-3-aminopropyl)-3-methyl-3-aminopropyl)-3-methyl-1-triazene					
(1-pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone		(1-Pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone	1199943-44-6	1TYA7HVP1B			
(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane		Ethaselen	217798-39-5	4Q2EZS1IWG			
(1,2,5,6-tetrahydropyridin-4-yl)methylphosphinic acid		Tpmpa	182485-36-5	TR7I0800L2			
(1'S, 2S)-4-amino-N-(1'-carbamoyl-2'-phenylethyl)-2-(4''-methyl-1''-naphthalenesulfonylamino)butanamide		(2S)-4-amino-N-[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]-2-[(4-methylnaphthalen-1-yl)sulfonylamino]butanamide	848647-56-3	H35JAI9M2X			
(19Z)-halichondramide		(19Z)-Halichondramide					
(1E,4E)-1,5-bis(2-methoxyphenyl)penta-1,4-dien-3-one		(1E,4E)-1,5-Bis(2-methoxyphenyl)penta-1,4-dien-3-one	41973-42-6				
(1R-(exo,exo))-3-(4-fluorophenyl)-8-methyl-8- azabicyclo(3.2.1)octane-2-carboxylic acid, methyl ester	50370-56-4	methyl (1R,2S,3S,5S)-3-(4-fluorophenyl)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate	50370-56-4	8ZT6KJ947T	Dopamine Uptake Inhibitors	Drugs that block the transport of DOPAMINE into axon terminals or into storage vesicles within terminals. Most of the ADRENERGIC UPTAKE INHIBITORS also inhibit dopamine uptake. (See all compounds classified as Dopamine Uptake Inhibitors.)	
(1R,3S,3aR,8bS)-3a-(4-Bromophenyl)-6,8-dimethoxy-3-phenyl-2,3,3a,8b-tetrahydro-1H-cyclopenta(b)benzofuran-1,8b-diol		(1R,3S,3aR,8bS)-3a-(4-Bromophenyl)-6,8-dimethoxy-3-phenyl-2,3,3a,8b-tetrahydro-1H-cyclopenta(b)benzofuran-1,8b-diol					
(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide		(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide					
(2-(2',6'-dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane		(2-(2',6'-Dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane	613-67-2	E9H51OIT2B	Adrenergic alpha-Antagonists	Drugs that bind to but do not activate alpha-adrenergic receptors thereby blocking the actions of endogenous or exogenous adrenergic agonists. Adrenergic alpha-antagonists are used in the treatment of hypertension, vasospasm, peripheral vascular disease, shock, and pheochromocytoma. (See all compounds classified as Adrenergic alpha-Antagonists.)	
(2-(4-(4-isopropoxybenzyl)-phenylamino) imidazoline)		(2-(4-(4-isopropoxybenzyl)-phenylamino) imidazoline)					
(2-(5-amino-2-(4-fluorophenyl)-1,6-dihydro-6-oxo-1-pyrimidinyl)-N-(1-((5-methoxycarbonyl-2-benzoxazolyl)carbonyl)-2-phenylethyl)acetamide)		(2-(5-amino-2-(4-fluorophenyl)-1,6-dihydro-6-oxo-1-pyrimidinyl)-N-(1-((5-methoxycarbonyl-2-benzoxazolyl)carbonyl)-2-phenylethyl)acetamide)					
(2-(6-fluoro-1H-indol-3-yl)-ethyl)-(3-(2,2,3,3-tetrafluoropropoxy)benzyl)amine		(2-(6-fluoro-1H-indol-3-yl)-ethyl)-(3-(2,2,3,3-tetrafluoropropoxy)benzyl)amine					
(2-(trimethylammonium)ethyl)methanethiosulfonate	155450-08-1	Mtset	155450-08-1		Indicators and Reagents	Substances used for the detection, identification, analysis, etc. of chemical, biological, or pathologic processes or conditions. Indicators are substances that change in physical appearance, e.g., color, at or approaching the endpoint of a chemical titration, e.g., on the passage between acidity and alkalinity. Reagents are substances used for the detection or determination of another substance by chemical or microscopical means, especially analysis. Types of reagents are precipitants, solvents, oxidizers, reducers, fluxes, and colorimetric reagents. (From Grant and Hackh&apos;s Chemical Dictionary, 5th ed, p301, p499) (See all compounds classified as Indicators and Reagents.)	
(2-boronoethyl)-cysteine		(2-boronoethyl)-cysteine					
(2-cyano-3,12-dioxooleana-1,9-dien-28-oic acid) trifluoroethylamide		(2-cyano-3,12-dioxooleana-1,9-dien-28-oic acid) trifluoroethylamide					
(2-hydroxy-4-(octyloxy)phenyl)phenylmethanone	1843-05-6	Octabenzone	1843-05-6	73P3618V2E			
(2-isopropyl-5-methylcyclohexyl) diphenylphosphine oxide		(2-isopropyl-5-methylcyclohexyl) diphenylphosphine oxide					
(2,3,5,6-tetrafluoro-4-methoxymethylphenyl)methyl-2,2-dimethyl-3-(1-propenyl)cyclopropanecarboxylate		Metofluthrin	240494-70-6				
(2,4-dihydroxy-5-isopropylphenyl)-(5-(4-methylpiperazin-1-ylmethyl)-1,3-dihydroisoindol-2-yl)methanone		Onalespib	912999-49-6	Q7Y33N57ZZ			Investigated for use/treatment in cancer/tumors (unspecified).
(2)-5,6,7,8,4'-pentamethoxyflavanone		(2)-5,6,7,8,4'-pentamethoxyflavanone					
(22R, 25R)-20alpha-spirost-5-en-3beta-yl hexanoate		Caprospinol	4952-56-1	9BU4T267E4			Alzheimer's Disease
(25S)-26-adamantyl-25-hydroxy-2-methylene-22,23-didehydro-19,27-dinor-20-epi-vitamin D3		(25S)-26-adamantyl-25-hydroxy-2-methylene-22,23-didehydro-19,27-dinor-20-epi-vitamin D3					
(2E,4E,6E,10E)-3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid		Peretinoin	81485-25-8	11ALM7A4RV			
(2E)-decenal		2-Decenal	3913-81-3	E93S23U2BU			
(2E)-N,N-dibutyl-3-(4-hydroxy-3-methoxyphenyl)acrylamide		(2E)-N,N-dibutyl-3-(4-hydroxy-3-methoxyphenyl)acrylamide					
(2R, 3S)-2-(((4-(2-butynyloxy)phenyl)sulfonyl)amino)-N,3-dihydroxybutanamide		(2R, 3S)-2-(((4-(2-butynyloxy)phenyl)sulfonyl)amino)-N,3-dihydroxybutanamide					
(2S,4R)-methyl-1-acetyl-4-(N-(4-bromophenyl)sulfamoyloxy)pyrrolidine-2-carboxylate		(2S,4R)-methyl-1-acetyl-4-(N-(4-bromophenyl)sulfamoyloxy)pyrrolidine-2-carboxylate					
(2S)-2-(4-(((3S)-1-acetimidoyl-3-pyrrolidinyl)oxy)phenyl)-3-(7-amidino-2-naphtyl)propanoic acid		2-(4-((1-Acetimidoyl-3-pyrrolidinyl)oxy)phenyl)-3-(7-amidino-2-naphthyl)propanoic acid hydrocloride pentahydrate	155204-81-2	QXQVEPEVI2	Platelet Aggregation Inhibitors	Drugs or agents which antagonize or impair any mechanism leading to blood platelet aggregation, whether during the phases of activation and shape change or following the dense-granule release reaction and stimulation of the prostaglandin-thromboxane system. (See all compounds classified as Platelet Aggregation Inhibitors.)	
(2S*,3R*)-1-(biphenyl-4-carbonyl)piperazine-2,3-dicarboxylic acid		(2S*,3R*)-1-(biphenyl-4-carbonyl)piperazine-2,3-dicarboxylic acid					
(3-(1-((3-(cyclohexylmethyl)hydroxyphosphinyl)-2-hydroxypropyl)amino)ethyl)benzoic acid	153994-81-1	(3-(1-((3-(Cyclohexylmethyl)hydroxyphosphinyl)-2-hydroxypropyl)amino)ethyl)benzoic acid	153994-81-1				
(3-(4-(bis(2-chloroethyl)amino)phenyl)-3-propyl)carbamic acid 2-(6-(17-hydroxy-13-methyl-3-oxo-2,3,6,7,8,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta(a)phenanthren-11-yl)hexylamino)ethyl ester		(3-(4-(bis(2-chloroethyl)amino)phenyl)-3-propyl)carbamic acid 2-(6-(17-hydroxy-13-methyl-3-oxo-2,3,6,7,8,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta(a)phenanthren-11-yl)hexylamino)ethyl ester					
(3-aminopropyl)(n-butyl)phosphinic acid	145537-81-1	(3-Aminopropyl)(n-butyl)phosphinic acid	123690-78-8	GBZ5UC0RME	GABA Antagonists	Drugs that bind to but do not activate GABA RECEPTORS, thereby blocking the actions of endogenous GAMMA-AMINOBUTYRIC ACID and GABA RECEPTOR AGONISTS. (See all compounds classified as GABA Antagonists.)	Investigated for use/treatment in alzheimer's disease, attention deficit/hyperactivity disorder (ADHD), memory loss, and schizophrenia and schizoaffective disorders.
(3-chloro-4-fluoro-phenyl)-(6-(4-diethylaminomethyl-piperidin-1yl)-pyrimido(5,4-d)pyrimidin-4-yl)amine		(3-chloro-4-fluoro-phenyl)-(6-(4-diethylaminomethyl-piperidin-1yl)-pyrimido(5,4-d)pyrimidin-4-yl)amine					
(3-ethyl-2-methyl-quinolin-6-yl)-(4-methoxycyclohexyl)methanone methanesulfonate		(3-ethyl-2-methyl-quinolin-6-yl)-(4-methoxycyclohexyl)methanone methanesulfonate					
(3-exo)-8-benzoyl-N-(((2S)7-chloro-2,3-dihydro-1,4-benzodioxin-1-yl)methyl)-8-azabicyclo(3.2.1)octane-3-methanamine monohydrochloride		(3-exo)-8-benzoyl-N-(((2S)7-chloro-2,3-dihydro-1,4-benzodioxin-1-yl)methyl)-8-azabicyclo(3.2.1)octane-3-methanamine monohydrochloride					
(3,3-dibenzylimidazo(1,2-a)pyridin-2-(3H)-one)		Imidazo[1,2-a]pyridin-2(3H)-one, 3,3-bis(phenylmethyl)-	324077-62-5				
(3,4-dihydroxyphenylamino)-2-imidazoline	57101-49-2	(3,4-Dihydroxyphenylamino)-2-imidazoline	57101-49-2	DEA5VW1N6R	Dopamine Agonists	Drugs that bind to and activate dopamine receptors. (See all compounds classified as Dopamine Agonists.)	
(3,4,5-trimethoxy-N-(2-methoxyethyl)-N-(4-phenyl-2-thiazolyl)benzamide		(3,4,5-trimethoxy-N-(2-methoxyethyl)-N-(4-phenyl-2-thiazolyl)benzamide					
(3,6-dimethyl-2-(2,4,6-trimethylphenoxy)pyridin-4-yl)(1-ethylpropyl)amine		(3,6-dimethyl-2-(2,4,6-trimethylphenoxy)pyridin-4-yl)(1-ethylpropyl)amine					
(3b,5b,7a,12a)-7,12-dihydroxy-3-(2-((4-((11b,17b)-17-hydroxy-3-oxo-17-prop-1-ynylestra-4,9-dien-11-yl) phenyl)(methyl)amino)ethoxy)cholan-24-oic acid		(3b,5b,7a,12a)-7,12-dihydroxy-3-(2-((4-((11b,17b)-17-hydroxy-3-oxo-17-prop-1-ynylestra-4,9-dien-11-yl) phenyl)(methyl)amino)ethoxy)cholan-24-oic acid					
(3R)-((2,3-dihydro-5-methyl-3-((4-morpholinyl)methyl)pyrrolo-(1,2,3-de)-1,4-benzoxazin-6-yl)(1-naphthalenyl))methanone		(3R)-((2,3-dihydro-5-methyl-3-((4-morpholinyl)methyl)pyrrolo-(1,2,3-de)-1,4-benzoxazin-6-yl)(1-naphthalenyl))methanone					
(3Z)-3-(1H-pyrrol-2-yl)-methyllidene)-1-(1-(piperidylmethyl)-1,3-dihydro-2H-indol-2-one mesylate		(3Z)-3-(1H-pyrrol-2-yl)-methyllidene)-1-(1-(piperidylmethyl)-1,3-dihydro-2H-indol-2-one mesylate					
(4-(((2-(3-fluoro-4-(trifluoromethyl)phenyl)-4-methyl-1,3-thiazol-5-yl)methyl)sulfanyl)-2-methylphenoxy)acetic acid		{4-[({2-[3-Fluoro-4-(Trifluoromethyl)phenyl]-4-Methyl-1,3-Thiazol-5-Yl}methyl)sulfanyl]-2-Methylphenoxy}acetic Acid	317318-84-6	4PZK9FJC4Z			
(4-(4-hydroxy-3-isopropyl-5-(4-nitrophenylethynyl)benzyl)-3,5-dimethylphenoxy)acetic acid		(4-(4-hydroxy-3-isopropyl-5-(4-nitrophenylethynyl)benzyl)-3,5-dimethylphenoxy)acetic acid					
(4-(4'-chloro-2'-fluoro)phenylamino)-6,7-dimethylquinazoline		(4-(4'-chloro-2'-fluoro)phenylamino)-6,7-dimethylquinazoline					
(4-(5-(4-fluorophenyl)-2-methylsulfanyl-3H-imidazol-4-yl)pyridin-2-yl)-(1-phenylethyl)amine		(4-(5-(4-fluorophenyl)-2-methylsulfanyl-3H-imidazol-4-yl)pyridin-2-yl)-(1-phenylethyl)amine					
(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone		(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone					
(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride	55-45-8	(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium chloride	55-45-8	CW55R761RE	Ganglionic Stimulants	Agents that mimic neural transmission by stimulation of the nicotinic receptors on postganglionic autonomic neurons. Drugs that indirectly augment ganglionic transmission by increasing the release or slowing the breakdown of acetylcholine or by non-nicotinic effects on postganglionic neurons are not included here nor are the nonspecific cholinergic agonists. (See all compounds classified as Ganglionic Stimulants.)	
(4-amidinophenyl)methanesulfonyl fluoride	71933-13-6	(4-Carbamimidoylphenyl)methanesulfonyl fluoride	71933-13-6				
(4-amino-1,4-dihydro-3-(2-pyridyl)-5-thioxo-1,2,4-triazole)copper(II)		(4-amino-1,4-dihydro-3-(2-pyridyl)-5-thioxo-1,2,4-triazole)copper(II)					
(4-benzylpiperazin-1-yl)acetic acid (3-allyl-2-hydroxybenzylidene)hydrazine		(4-benzylpiperazin-1-yl)acetic acid (3-allyl-2-hydroxybenzylidene)hydrazine					
(4-chloro-2-((2-fluoro-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid		(4-chloro-2-((2-fluoro-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid					
(4-chloro-2-((2-methyl-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid		(4-chloro-2-((2-methyl-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid					
(4-ethyl-1-naphthalenyl)(1-(5-fluoropentyl)-1H-indol-3-yl)methanone		(4-ethyl-1-naphthalenyl)(1-(5-fluoropentyl)-1H-indol-3-yl)methanone					
(4-formyl-9-methoxy-5-methyl-naphtho(2,3-b)furan-3-yl)methyl acetate		(4-formyl-9-methoxy-5-methyl-naphtho(2,3-b)furan-3-yl)methyl acetate					
(4-methoxy-1-naphthalenyl)(1-pentyl-1H-indol-3-yl)methanone		(4-Methoxy-1-naphthalenyl)(1-pentyl-1H-indol-3-yl)methanone					
(4-methyl-1-naphthyl)-(1-pentylindol-3-yl)methanone		(4-Methyl-1-naphthyl)-(1-pentylindol-3-yl)methanone	619294-47-2	44147RI31X			
(4,4-dimethyl-2,2-bipyridine)(acetylacetonate)copper(II)		(4,4-dimethyl-2,2-bipyridine)(acetylacetonate)copper(II)					
(4S,5S)-4,5-dihydroxy-1,2-dithiane		(4S,5S)-1,2-Dithiane-4,5-diol	14193-38-5	8T052MD8AP			
(5-(2,4-bis((3S)-3-methylmorpholin-4-yl)pyrido(2,3-d)pyrimidin-7-yl)-2-methoxyphenyl)methanol		[5-[2,4-Bis((3S)-3-methylmorpholin-4-yl)pyrido[2,3-d]pyrimidin-7-yl]-2-methoxyphenyl]methanol	1009298-09-2	970JJ37FPW			
(5-(3-(4-(2-bromo-5-fluorophenoxy)piperidin-1-yl)isoxazol-5-yl)-2H-tetrazol-2-yl)acetic acid		(5-(3-(4-(2-bromo-5-fluorophenoxy)piperidin-1-yl)isoxazol-5-yl)-2H-tetrazol-2-yl)acetic acid					
(5-fluoro-2-methyl-1-(4-pyridyl)methylene-3-(N-benzyl)-indene)-acetamide hydrochloride		(5-fluoro-2-methyl-1-(4-pyridyl)methylene-3-(N-benzyl)-indene)-acetamide hydrochloride					
(5-formylfuran-2-yl)methyl 4-hydroxy-2-methylenebutanoate		(5-Formylfuran-2-yl)methyl 4-hydroxy-2-methylenebutanoate					
(5,6-dimethoxyindan-2-yl)dipropylamine	153570-58-2	(5,6-Dimethoxyindan-2-yl)dipropylamine	83598-46-3	E5A8B0V7P3	Dopamine Antagonists	Drugs that bind to but do not activate DOPAMINE RECEPTORS, thereby blocking the actions of dopamine or exogenous agonists. Many drugs used in the treatment of psychotic disorders (ANTIPSYCHOTIC AGENTS) are dopamine antagonists, although their therapeutic effects may be due to long-term adjustments of the brain rather than to the acute effects of blocking dopamine receptors. Dopamine antagonists have been used for several other clinical purposes including as ANTIEMETICS, in the treatment of Tourette syndrome, and for hiccup. Dopamine receptor blockade is associated with NEUROLEPTIC MALIGNANT SYNDROME. (See all compounds classified as Dopamine Antagonists.)	
(5'-(4-amino-7,7-dimethyl-2-trifluoromethyl-7H-pyrimido(4,5-b)(1,4)oxazin-6-yl)-2',3'-dihydrospiro(cyclohexane-1,1'-inden)-4-yl)acetic acid		(5'-(4-amino-7,7-dimethyl-2-trifluoromethyl-7H-pyrimido(4,5-b)(1,4)oxazin-6-yl)-2',3'-dihydrospiro(cyclohexane-1,1'-inden)-4-yl)acetic acid					
(6,7-dimethoxyquinolin-4-yl)(5-methoxy-2,2-dimethyl-2H-chromen-6-yl)methyl acetate		(6,7-dimethoxyquinolin-4-yl)(5-methoxy-2,2-dimethyl-2H-chromen-6-yl)methyl acetate					
(7-(2-(4-difluorophenyl)-1-piperazinyl)ethyl)-2-(2-furanyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidin-5-amine		(7-(2-(4-difluorophenyl)-1-piperazinyl)ethyl)-2-(2-furanyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidin-5-amine					
(9H-fluoren-9-yl)methyl(1-((6-(tert-butoxycarbonyl)amino-1-((4-methyl-2-oxo-1,2-dihydroquinolin-7-yl)amino)-1-oxohexan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)carbamate		(9H-fluoren-9-yl)methyl(1-((6-(tert-butoxycarbonyl)amino-1-((4-methyl-2-oxo-1,2-dihydroquinolin-7-yl)amino)-1-oxohexan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)carbamate					
(all-E) phytoene	540-04-5	Phytoene	540-04-5	87E4NJ6N51			
(arginine)9-cysteinyl-glutaminyl-cysteinyl-arginyl-arginyl-lysyl-asparagine		(arginine)9-cysteinyl-glutaminyl-cysteinyl-arginyl-arginyl-lysyl-asparagine					
(Cr(salprn)(H2O)2)ClO4		(Cr(salprn)(H2O)2)ClO4					
(dichloro)tetraammineruthenium(III)		(dichloro)tetraammineruthenium(III)					
(E)-2-((2-(benzo(d)thiazol-2-yl)hydrazono)methyl)-4-nitrophenol		(E)-2-((2-(benzo(d)thiazol-2-yl)hydrazono)methyl)-4-nitrophenol					
(E)-3-((((6-(2-carboxyethenyl)-5-((8-(4-methoxyphenyl)octyl)oxy)-2-pyridinyl)methyl)thio)methyl)benzoic acid	150399-22-7	(E)-3-((((6-(2-Carboxyethenyl)-5-((8-(4-methoxyphenyl)octyl)oxy)-2-pyridinyl)methyl)thio)methyl)benzoic acid	150399-22-7	4TWC061LPM			
(E)-3-(2,3,4,5-tetrabromophenyl)acrylic acid		(E)-3-(2,3,4,5-Tetrabromophenyl)acrylic acid					
(E)-4-((2-N-(4-methoxybenzenesulfonyl)amino)stilbazole)1-oxide		(E)-4-(2-(2-(N-((p-Methoxyphenyl)sulfonyl)amino)phenyl)ethenyl)pyridine 1-oxide	173529-10-7				
(E)-4-(ethoxymethylene)-2-phenyloxazol-5(4H)-one		4-Ethoxymethylene-2-phenyl-2-oxazolin-5-one	15646-46-5	40RAK33386	Adjuvants, Immunologic	Substances that augment, stimulate, activate, potentiate, or modulate the immune response at either the cellular or humoral level. The classical agents (Freund&apos;s adjuvant, BCG, Corynebacterium parvum, et al.) contain bacterial antigens. Some are endogenous (e.g., histamine, interferon, transfer factor, tuftsin, interleukin-1). Their mode of action is either non-specific, resulting in increased immune responsiveness to a wide variety of antigens, or antigen-specific, i.e., affecting a restricted type of immune response to a narrow group of antigens. The therapeutic efficacy of many biological response modifiers is related to their antigen-specific immunoadjuvanticity. (See all compounds classified as Adjuvants, Immunologic.)	
(E)-N1-((6-chloro-3-pyridyl)methyl)-N2-cyano-N1-methylacetamidine		(E)-N1-((6-chloro-3-pyridyl)methyl)-N2-cyano-N1-methylacetamidine					
(endo-N-8-methyl-8-azabicyclo-(3.2.1)oct-3-yl)-2,3-dihydro-3-isopropyl-2-oxo-1H-benzimidazol-1-carboxamide	134296-40-5	Bimu 8	134296-40-5				
(endo-N-8-methyl-8-azabicyclo(3.2.1)oct-3-yl)-2,3-dihydro-3-ethyl-2-oxo-1H-benzimidazol-1-carboxamide	127595-43-1	(endo-N-8-Methyl-8-azabicyclo(3.2.1)oct-3-yl)-2,3-dihydro-3-ethyl-2-oxo-1H-benzimidazol-1-carboxamide	127595-43-1				
(gamma-CyD)2 C60		(gamma-CyD)2 C60					
(glycyl-glycyl)GLP-2		(glycyl-glycyl)GLP-2					
(N-(1-(((cyanoimino)(5-quinolinylamino) methyl) amino)-2,2-dimethylpropyl)-2-(3,4-dimethoxyphenyl)acetamide)		(N-(1-(((cyanoimino)(5-quinolinylamino) methyl) amino)-2,2-dimethylpropyl)-2-(3,4-dimethoxyphenyl)acetamide)					
(N-5-(4-nitrobenzofurazan-7-yl)lysyl(8))cyclosporine		(N-5-(4-nitrobenzofurazan-7-yl)lysyl(8))cyclosporine					
(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)		(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)					
(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate		Ladostigil	209394-27-4	SW3H1USR4Q			
(N)-methanocarba-2MeSADP		(N)-methanocarba-2MeSADP					
(N)1-acetylisoniazid	1078-38-2	Acetylisoniazid	1078-38-2	J42942UVUN			
(Nphe(1),Arg(14),Lys(15))N-OFQ NH(2)		(Nphe(1),Arg(14),Lys(15))N-OFQ NH(2)					
(R)-2-(3-((benzoxazol-2-yl-d4 (3-(4-methoxyphenoxy-d7)propyl)amino)methyl)phenoxy) butanoic acid		(R)-2-(3-((benzoxazol-2-yl-d4 (3-(4-methoxyphenoxy-d7)propyl)amino)methyl)phenoxy) butanoic acid					
(R)-N-(4-(4-methoxyphenyl)thiazol-2-yl)-1-tosylpiperidine-2-carboxamide		(2R)-N-[4-(4-methoxyphenyl)-1,3-thiazol-2-yl]-1-(4-methylphenyl)sulfonylpiperidine-2-carboxamide					
(R)-N-(benzimidazol-2-yl)-1,2,3,4-tetrahydro-1-naphthylamine		1H-Benzimidazol-2-amine, N-((1R)-1,2,3,4-tetrahydro-1-naphthalenyl)-	875755-39-8	STF2BZ33XF			
(R)-N-cycloheptyl-6-((((tetrahydro-2-furyl)methyl)amino)methyl)thieno(2,3-d)pyrimidin-4-ylamine		N-cycloheptyl-6-[[[(2R)-oxolan-2-yl]methylamino]methyl]thieno[2,3-d]pyrimidin-4-amine					
(S)-2-methylbutyronitrile		(S)-(+)-2-Methylbutyronitrile	25570-03-0	GV2WA95CCL			
1 alpha-hydroxyergocalciferol		1 alpha-hydroxyergocalciferol					
1 alpha,24-dihydroxyvitamin D3	60965-80-2	1alpha,24-Dihydroxycholecalciferol	60965-80-2		Anti-Inflammatory Agents	Substances that reduce or suppress INFLAMMATION. (See all compounds classified as Anti-Inflammatory Agents.)	
