cas_no	generic_name	pediatric_excl_date	sponser	pediatric_indication	Notes	url	unii_no	indication	pharm_class	pharm_desc	hazard_statements
154323-57-6	Almotriptan	1/13/09	Johnson & Johnson	Acute treatment of migraine headache		https://pubchem.ncbi.nlm.nih.gov/compound/123606	1O4XL5SN61	For the treatment of acute migraine headache in adults	Serotonin Receptor Agonists	Endogenous compounds and drugs that bind to and activate SEROTONIN RECEPTORS. Many serotonin receptor agonists are used as ANTIDEPRESSANTS; ANXIOLYTICS; and in the treatment of MIGRAINE DISORDERS. (See all compounds classified as Serotonin Receptor Agonists.)	
88150-42-9	Amlodipine	11/27/01	Pfizer	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/2162	1J444QC288	Amlodipine may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of the following conditions:  • Hypertension   • Coronary artery disease  • Chronic stable angina  • Vasospastic angina (Prinzmetal’s or Variant angina)   • Angiographically documented coronary artery disease in patients without heart failure or an ejection fraction < 40%	Antihypertensive Agents	Drugs used in the treatment of acute or chronic vascular HYPERTENSION regardless of pharmacological mechanism. Among the antihypertensive agents are DIURETICS; (especially DIURETICS, THIAZIDE); ADRENERGIC BETA-ANTAGONISTS; ADRENERGIC ALPHA-ANTAGONISTS; ANGIOTENSIN-CONVERTING ENZYME INHIBITORS; CALCIUM CHANNEL BLOCKERS; GANGLIONIC BLOCKERS; and VASODILATOR AGENTS. (See all compounds classified as Antihypertensive Agents.)	H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]; H314 (66.67%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]; H318 (100%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H341 (66.67%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H373 (100%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]; H411 (66.67%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]; H314 (50%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]; H318 (100%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H341 (50%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H373 (100%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H400 (100%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410 (100%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]; H411 (50%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H301: Toxic if swallowed [Danger Acute toxicity, oral]; H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]; H373: May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H410: Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]; H302: Harmful if swallowed [Warning Acute toxicity, oral]; H301: Toxic if swallowed [Danger Acute toxicity, oral]; H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]; H373 **: May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H400: Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410: Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]
515-98-0	Ammonium Lactate	10/1/99	Westwood-Squibb	Ichthyosis vulgaris candidiasis		https://pubchem.ncbi.nlm.nih.gov/compound/62358	67M901L9NQ	For the treatment of dry, scaly skin (xerosis) and ichthyosis vulgaris and for temporary relief of itching associated with these conditions.			H315 (98.31%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (98.31%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (98.31%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]
	Amphetamine Mixed Salts	10/28/04	Shire	Attention Deficit Hyperactivity Disorder							
	Amphetamine Mixed Salts	8/18/19	Shire	Attention Deficit Hyperactivity Disorder	A second period of PE was granted to this moiety						
68475-42-3	Anagrelide	5/25/04	Shire	Thrombocythemia secondary to myeloproliferative disorders		https://pubchem.ncbi.nlm.nih.gov/compound/135409400	K9X45X0051	Anagrelide is indicated for the treatment of thrombocythemia, secondary to malignant neoplasms, to reduce platelet count and the associated risk of thrombosis. It is also beneficial in the amelioration of thrombocythemia symptoms including thrombo-hemorrhagic events.	Fibrinolytic Agents	Fibrinolysin or agents that convert plasminogen to FIBRINOLYSIN. (See all compounds classified as Fibrinolytic Agents.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H360 (100%): May damage fertility or the unborn child [Danger Reproductive toxicity]
120511-73-1	Anastrozole	11/14/07	AstraZeneca	Male pubertal patients with gynecomastia and female pediatric patients with McCune-Albright syndrome with progressive precocious puberty.		https://pubchem.ncbi.nlm.nih.gov/compound/2187	2Z07MYW1AZ	Anastrozole is indicated as adjunct therapy in the treatment of hormone receptor-positive early breast cancer in postmenopausal women, and as a first-line treatment for hormone receptor-positive (or hormone receptor-unknown) locally advanced or metastatic breast cancer in postmenopausal women. It may also be used in the treatment of advanced breast cancer in postmenopausal women who experience disease progression despite treatment with [tamoxifen].	Antineoplastic Agents, Hormonal	Antineoplastic agents that are used to treat hormone-sensitive tumors. Hormone-sensitive tumors may be hormone-dependent, hormone-responsive, or both. A hormone-dependent tumor regresses on removal of the hormonal stimulus, by surgery or pharmacological block. Hormone-responsive tumors may regress when pharmacologic amounts of hormones are administered regardless of whether previous signs of hormone sensitivity were observed. The major hormone-responsive cancers include carcinomas of the breast, prostate, and endometrium; lymphomas; and certain leukemias. (From AMA Drug Evaluations Annual 1994, p2079) (See all compounds classified as Antineoplastic Agents, Hormonal.)	H301 (39.19%): Toxic if swallowed [Danger Acute toxicity, oral]; H302 (59.46%): Harmful if swallowed [Warning Acute toxicity, oral]; H351 (41.89%): Suspected of causing cancer [Warning Carcinogenicity]; H360 (93.24%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H372 (10.81%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]
608141-41-9	Apremilast	4/22/24	Amgen Inc.	moderate to severe plaque psoriasis who are candidates for systemic or phototherapy		https://pubchem.ncbi.nlm.nih.gov/compound/11561674	UP7QBP99PN	Apremilast is indicated for the treatment of adults with active psoriatic arthritis and adults with oral ulcers associated with Behcet's Disease. In addition, apremilast is indicated for the treatment of plaque psoriasis, of any severity, in adult patients who are candidates for phototherapy or systemic therapy.	Anti-Inflammatory Agents, Non-Steroidal	Anti-inflammatory agents that are non-steroidal in nature. In addition to anti-inflammatory actions, they have analgesic, antipyretic, and platelet-inhibitory actions. They act by blocking the synthesis of prostaglandins by inhibiting cyclooxygenase, which converts arachidonic acid to cyclic endoperoxides, precursors of prostaglandins. Inhibition of prostaglandin synthesis accounts for their analgesic, antipyretic, and platelet-inhibitory actions; other mechanisms may contribute to their anti-inflammatory effects. (See all compounds classified as Anti-Inflammatory Agents, Non-Steroidal.)	H302 (60%): Harmful if swallowed [Warning Acute toxicity, oral]; H312 (20%): Harmful in contact with skin [Warning Acute toxicity, dermal]; H332 (20%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H360 (10%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (70%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H361fd (10%): Suspected of damaging fertility; Suspected of damaging the unborn child [Warning Reproductive toxicity]; H362 (10%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H372 (40%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H317 (100%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
129722-12-9	Aripiprazole	11/14/07	Otsuka	Schizophrenia & Bipolar Depression		https://pubchem.ncbi.nlm.nih.gov/compound/60795	82VFR53I78	Aripiprazole is indicated for the treatment of acute manic and mixed episodes associated with bipolar I disorder, irritability associated with autism spectrum disorder, schizophrenia, and Tourette's disorder. It is also used as an adjunctive treatment of major depressive disorder.[L45859 An injectable formulation of aripiprazole is indicated for agitation associated with schizophrenia or bipolar mania. Finally, an extended-release, bimonthly injection formulation of aripiprazole is indicated for the treatment of adult schizophrenia and maintenance therapy for adult bipolar I disorder.	Antipsychotic Agents	Agents that control agitated psychotic behavior, alleviate acute psychotic states, reduce psychotic symptoms, and exert a quieting effect. They are used in SCHIZOPHRENIA; senile dementia; transient psychosis following surgery; or MYOCARDIAL INFARCTION; etc. These drugs are often referred to as neuroleptics alluding to the tendency to produce neurological side effects, but not all antipsychotics are likely to produce such effects. Many of these drugs may also be effective against nausea, emesis, and pruritus. (See all compounds classified as Antipsychotic Agents.)	H301 (64%): Toxic if swallowed [Danger Acute toxicity, oral]; H302 (34%): Harmful if swallowed [Warning Acute toxicity, oral]; H351 (10%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (16%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H372 (12%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H413 (14%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard]; H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H351 (50%): Suspected of causing cancer [Warning Carcinogenicity]; H360 (50%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H362 (50%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H372 (50%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H410 (50%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]; H226: Flammable liquid and vapor [Warning Flammable liquids]; H290: May be corrosive to metals [Warning Corrosive to Metals]; H301: Toxic if swallowed [Danger Acute toxicity, oral]; H311: Toxic in contact with skin [Danger Acute toxicity, dermal]; H315: Causes skin irritation [Warning Skin corrosion/irritation]; H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H331: Toxic if inhaled [Danger Acute toxicity, inhalation]; H370: Causes damage to organs [Danger Specific target organ toxicity, single exposure]
65576-45-6	Asenapine	3/3/15	Forest Labs	Schizophrenia & bipolar disorder		https://pubchem.ncbi.nlm.nih.gov/compound/3036780		Used for treatment in psychosis, schizophrenia and schizoaffective disorders, manic disorders, and bipolar disorders as monotherapy or in combination.	Antipsychotic Agents	Agents that control agitated psychotic behavior, alleviate acute psychotic states, reduce psychotic symptoms, and exert a quieting effect. They are used in SCHIZOPHRENIA; senile dementia; transient psychosis following surgery; or MYOCARDIAL INFARCTION; etc. These drugs are often referred to as neuroleptics alluding to the tendency to produce neurological side effects, but not all antipsychotics are likely to produce such effects. Many of these drugs may also be effective against nausea, emesis, and pruritus. (See all compounds classified as Antipsychotic Agents.)	H302 (33.33%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; Not Classified; Reported as not meeting GHS hazard criteria by 1 of 1 companies. For more detailed information, please visit  ECHA C&L website.
198904-31-3	Atazanavir	6/23/15	Bristol-Myers Squibb	HIV-1 Infection		https://pubchem.ncbi.nlm.nih.gov/compound/148192	QZU4H47A3S	Atazanavir is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection in adults and pediatric patients 3 months of age and older weighing at least 5kg. Atazanavir is also indicated in combination with [cobicistat] and other antiretrovirals for the treatment of HIV-1 infection in adults and pediatric patients weighing at least 35kg.	HIV Protease Inhibitors	Inhibitors of HIV PROTEASE, an enzyme required for production of proteins needed for viral assembly. (See all compounds classified as HIV Protease Inhibitors.)	H318 (100%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H411 (100%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
	Atezolizumab	9/22/20	Genentech/ Hoffmann-La Roche	Solid tumors with known or expected PD-L1 pathway involvement, including high-grade glioma, rhabdomyosarcoma, non-Hodgkin lymphoma, Hodgkin lymphoma, soft tissue sarcoma, osteosarcoma, Ewing sarcoma, & WilmsÕ tumor							
83015-26-3	Atomoxetine	12/18/01	Lilly	Attention Deficit Hyperactivity Disorder		https://pubchem.ncbi.nlm.nih.gov/compound/54841	ASW034S0B8	Atomoxetine is indicated for the treatment of attention deficit hyperactivity disorder (ADHD) in children and adults.	Adrenergic Uptake Inhibitors	Drugs that block the transport of adrenergic transmitters into axon terminals or into storage vesicles within terminals. The tricyclic antidepressants (ANTIDEPRESSIVE AGENTS, TRICYCLIC) and amphetamines are among the therapeutically important drugs that may act via inhibition of adrenergic transport. Many of these drugs also block transport of serotonin. (See all compounds classified as Adrenergic Uptake Inhibitors.)	H301 (100%): Toxic if swallowed [Danger Acute toxicity, oral]; H318 (100%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H331 (100%): Toxic if inhaled [Danger Acute toxicity, inhalation]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H411 (100%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
134523-00-5	Atorvastatin	2/22/02	Pfizer	Hypercholesterolemia		https://pubchem.ncbi.nlm.nih.gov/compound/60823	A0JWA85V8F	Atorvastatin is indicated for the treatment of several types of dyslipidemias, including primary hyperlipidemia and mixed dyslipidemia in adults, hypertriglyceridemia, primary dysbetalipoproteinemia, homozygous familial hypercholesterolemia, and heterozygous familial hypercholesterolemia in adolescent patients with failed dietary modifications.  Dyslipidemia describes an elevation of plasma cholesterol, triglycerides or both as well as to the presence of low levels of high-density lipoprotein. This condition represents an increased risk for the development of atherosclerosis.   Atorvastatin is indicated, in combination with dietary modifications, to prevent cardiovascular events in patients with cardiac risk factors and/or abnormal lipid profiles.  Atorvastatin can be used as a preventive agent for myocardial infarction, stroke, revascularization, and angina, in patients without coronary heart disease but with multiple risk factors and in patients with type 2 diabetes without coronary heart disease but multiple risk factors.  Atorvastatin may be used as a preventive agent for non-fatal myocardial infarction, fatal and non-fatal stroke, revascularization procedures, hospitalization for congestive heart failure and angina in patients with coronary heart disease.  Prescribing of statin medications is considered standard practice following any cardiovascular events and for people with a moderate to high risk of development of CVD. Statin-indicated conditions include diabetes mellitus, clinical atherosclerosis (including myocardial infarction, acute coronary syndromes, stable angina, documented coronary artery disease, stroke, trans ischemic attack (TIA), documented carotid disease, peripheral artery disease, and claudication), abdominal aortic aneurysm, chronic kidney disease, and severely elevated LDL-C levels.	Hydroxymethylglutaryl-CoA Reductase Inhibitors	Compounds that inhibit HYDROXYMETHYLGLUTARYL COA REDUCTASES. They have been shown to directly lower CHOLESTEROL synthesis. (See all compounds classified as Hydroxymethylglutaryl-CoA Reductase Inhibitors.)	H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H361 (50%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H361fd (50%): Suspected of damaging fertility; Suspected of damaging the unborn child [Warning Reproductive toxicity]; H362 (100%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H315 (38.1%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (39.46%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (39.46%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H361 (38.1%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H362 (36.73%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]; H373 (60.54%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H402 (19.73%): Harmful to aquatic life [Hazardous to the aquatic environment, acute hazard]; H411 (36.05%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H412 (21.09%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H351 (100%): Suspected of causing cancer [Warning Carcinogenicity]; H361f (100%): Suspected of damaging fertility [Warning Reproductive toxicity]; H372 (100%): Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H411 (100%): Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H319 (22.22%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H351 (66.67%): Suspected of causing cancer [Warning Carcinogenicity]; H360 (14.81%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H360D (77.78%): May damage the unborn child [Danger Reproductive toxicity]; H362 (11.11%): May cause harm to breast-fed children [Reproductive toxicity, effects on or via lactation]
	Atovaquone/Proguanil	8/6/03	GSK	Malaria							
58581-89-8	Azelastine	8/11/99	Asta	Itching associated with allergic conjunctivitis		https://pubchem.ncbi.nlm.nih.gov/compound/2267	ZQI909440X	Intranasal azelastine is indicated for the symptomatic treatment of seasonal allergic rhinitis in patients 5 years and older and for the symptomatic treatment of vasomotor rhinitis in patients 12 years and older. Ophthalmic azelastine solution is indicated for the treatment of itchy eyes associated with allergic conjunctivitis.  As a 0.15% nasal spray, azelastine hydrochloride is also indicated for over-the-counter treatment of allergies in patients aged six years and older.	Bronchodilator Agents	Agents that cause an increase in the expansion of a bronchus or bronchial tubes. (See all compounds classified as Bronchodilator Agents.)	H302 (100%): Harmful if swallowed [Warning Acute toxicity, oral]; H312 (100%): Harmful in contact with skin [Warning Acute toxicity, dermal]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H332 (100%): Harmful if inhaled [Warning Acute toxicity, inhalation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H351 (50%): Suspected of causing cancer [Warning Carcinogenicity]; H413 (50%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard]
