chemical_name	cas_no
(3-(1-((3-(cyclohexylmethyl)hydroxyphosphinyl)-2-hydroxypropyl)amino)ethyl)benzoic acid	153994-81-1
(3-(4-(bis(2-chloroethyl)amino)phenyl)-3-propyl)carbamic acid 2-(6-(17-hydroxy-13-methyl-3-oxo-2,3,6,7,8,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta(a)phenanthren-11-yl)hexylamino)ethyl ester	
(3-aminopropyl)(n-butyl)phosphinic acid	145537-81-1
(3-chloro-4-fluoro-phenyl)-(6-(4-diethylaminomethyl-piperidin-1yl)-pyrimido(5,4-d)pyrimidin-4-yl)amine	
(3-ethyl-2-methyl-quinolin-6-yl)-(4-methoxycyclohexyl)methanone methanesulfonate	
(3-exo)-8-benzoyl-N-(((2S)7-chloro-2,3-dihydro-1,4-benzodioxin-1-yl)methyl)-8-azabicyclo(3.2.1)octane-3-methanamine monohydrochloride	
(3,3-dibenzylimidazo(1,2-a)pyridin-2-(3H)-one)	
(3,4-dihydroxyphenylamino)-2-imidazoline	57101-49-2
(3,4,5-trimethoxy-N-(2-methoxyethyl)-N-(4-phenyl-2-thiazolyl)benzamide	
(3,6-dimethyl-2-(2,4,6-trimethylphenoxy)pyridin-4-yl)(1-ethylpropyl)amine	
(3b,5b,7a,12a)-7,12-dihydroxy-3-(2-((4-((11b,17b)-17-hydroxy-3-oxo-17-prop-1-ynylestra-4,9-dien-11-yl) phenyl)(methyl)amino)ethoxy)cholan-24-oic acid	
(3R)-((2,3-dihydro-5-methyl-3-((4-morpholinyl)methyl)pyrrolo-(1,2,3-de)-1,4-benzoxazin-6-yl)(1-naphthalenyl))methanone	
(3Z)-3-(1H-pyrrol-2-yl)-methyllidene)-1-(1-(piperidylmethyl)-1,3-dihydro-2H-indol-2-one mesylate	
(4-(((2-(3-fluoro-4-(trifluoromethyl)phenyl)-4-methyl-1,3-thiazol-5-yl)methyl)sulfanyl)-2-methylphenoxy)acetic acid	
(4-(4-hydroxy-3-isopropyl-5-(4-nitrophenylethynyl)benzyl)-3,5-dimethylphenoxy)acetic acid	
(4-(4'-chloro-2'-fluoro)phenylamino)-6,7-dimethylquinazoline	
(4-(5-(4-fluorophenyl)-2-methylsulfanyl-3H-imidazol-4-yl)pyridin-2-yl)-(1-phenylethyl)amine	
(4-(7-chloroquinolin-4-yl)piperazino)(1-phenyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methanone	
(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride	55-45-8
(4-amidinophenyl)methanesulfonyl fluoride	71933-13-6
(4-amino-1,4-dihydro-3-(2-pyridyl)-5-thioxo-1,2,4-triazole)copper(II)	
(4-benzylpiperazin-1-yl)acetic acid (3-allyl-2-hydroxybenzylidene)hydrazine	
(4-chloro-2-((2-fluoro-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid	
(4-chloro-2-((2-methyl-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid	
(4-ethyl-1-naphthalenyl)(1-(5-fluoropentyl)-1H-indol-3-yl)methanone	
(4-formyl-9-methoxy-5-methyl-naphtho(2,3-b)furan-3-yl)methyl acetate	
(4-methoxy-1-naphthalenyl)(1-pentyl-1H-indol-3-yl)methanone	
(4-methyl-1-naphthyl)-(1-pentylindol-3-yl)methanone	
(4,4-dimethyl-2,2-bipyridine)(acetylacetonate)copper(II)	
(4S,5S)-4,5-dihydroxy-1,2-dithiane	
(5-(2,4-bis((3S)-3-methylmorpholin-4-yl)pyrido(2,3-d)pyrimidin-7-yl)-2-methoxyphenyl)methanol	
(5-(3-(4-(2-bromo-5-fluorophenoxy)piperidin-1-yl)isoxazol-5-yl)-2H-tetrazol-2-yl)acetic acid	
(5-fluoro-2-methyl-1-(4-pyridyl)methylene-3-(N-benzyl)-indene)-acetamide hydrochloride	
(5-formylfuran-2-yl)methyl 4-hydroxy-2-methylenebutanoate	
(5,6-dimethoxyindan-2-yl)dipropylamine	153570-58-2
(5'-(4-amino-7,7-dimethyl-2-trifluoromethyl-7H-pyrimido(4,5-b)(1,4)oxazin-6-yl)-2',3'-dihydrospiro(cyclohexane-1,1'-inden)-4-yl)acetic acid	
(6,7-dimethoxyquinolin-4-yl)(5-methoxy-2,2-dimethyl-2H-chromen-6-yl)methyl acetate	
(7-(2-(4-difluorophenyl)-1-piperazinyl)ethyl)-2-(2-furanyl)-7H-pyrazolo(4,3-e)(1,2,4)triazolo(1,5-c)pyrimidin-5-amine	
(9H-fluoren-9-yl)methyl(1-((6-(tert-butoxycarbonyl)amino-1-((4-methyl-2-oxo-1,2-dihydroquinolin-7-yl)amino)-1-oxohexan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)carbamate	
(all-E) phytoene	540-04-5
(arginine)9-cysteinyl-glutaminyl-cysteinyl-arginyl-arginyl-lysyl-asparagine	
(Cr(salprn)(H2O)2)ClO4	
(dichloro)tetraammineruthenium(III)	
(E)-2-((2-(benzo(d)thiazol-2-yl)hydrazono)methyl)-4-nitrophenol	
(E)-3-((((6-(2-carboxyethenyl)-5-((8-(4-methoxyphenyl)octyl)oxy)-2-pyridinyl)methyl)thio)methyl)benzoic acid	150399-22-7
(E)-3-(2,3,4,5-tetrabromophenyl)acrylic acid	
(E)-4-((2-N-(4-methoxybenzenesulfonyl)amino)stilbazole)1-oxide	
(E)-4-(ethoxymethylene)-2-phenyloxazol-5(4H)-one	
(E)-N1-((6-chloro-3-pyridyl)methyl)-N2-cyano-N1-methylacetamidine	
(endo-N-8-methyl-8-azabicyclo-(3.2.1)oct-3-yl)-2,3-dihydro-3-isopropyl-2-oxo-1H-benzimidazol-1-carboxamide	134296-40-5
(endo-N-8-methyl-8-azabicyclo(3.2.1)oct-3-yl)-2,3-dihydro-3-ethyl-2-oxo-1H-benzimidazol-1-carboxamide	127595-43-1
(gamma-CyD)2 C60	
(glycyl-glycyl)GLP-2	
(N-(1-(((cyanoimino)(5-quinolinylamino) methyl) amino)-2,2-dimethylpropyl)-2-(3,4-dimethoxyphenyl)acetamide)	
(N-5-(4-nitrobenzofurazan-7-yl)lysyl(8))cyclosporine	
(N-N'-bis-(2-(1H-indol-3-yl)-ethyl)-N,N'-bis-(3-thiomorpholin-4-yl-propyl)-phthalamide)	
(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate	
(N)-methanocarba-2MeSADP	
(N)1-acetylisoniazid	1078-38-2
(Nphe(1),Arg(14),Lys(15))N-OFQ NH(2)	
(R)-2-(3-((benzoxazol-2-yl-d4 (3-(4-methoxyphenoxy-d7)propyl)amino)methyl)phenoxy) butanoic acid	
(R)-N-(4-(4-methoxyphenyl)thiazol-2-yl)-1-tosylpiperidine-2-carboxamide	
(R)-N-(benzimidazol-2-yl)-1,2,3,4-tetrahydro-1-naphthylamine	
(R)-N-cycloheptyl-6-((((tetrahydro-2-furyl)methyl)amino)methyl)thieno(2,3-d)pyrimidin-4-ylamine	
(S)-2-methylbutyronitrile	
1 alpha-hydroxyergocalciferol	
1 alpha,24-dihydroxyvitamin D3	60965-80-2
1-((1-O-octadecyl-2-O-methylglycero)phospho)-3-deoxy-myo-inositol	
1-((2-methylbenzofuran-3-yl)methyl)-3-(thiophen-2-ylmethyl)urea	
1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine	
1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium	
1-((4-cyano-4-pyridin-2-ylpiperidin-1-yl)methyl)-4-oxo-4H-quinolizine-3-carboxylic acid	
1-((4-fluorobenzoylamino)ethyl)-4-(7-methoxy-1-naphthyl)piperazine hydrochloride	135721-98-1
1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole	162054-19-5
1-((4,5-bis(4-methoxyphenyl)-2-thiazoyl)carbonyl)-4-methylpiperazine	130717-51-0
1-((5-(1-aminoethyl)-2-(8-methoxy-2-(triflurormethyl)-5-quinolinyl)-4-oxazolyl) carbonyl)-4-((cyclopropylcarbonyl)amino)proline ethyl ester	
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine	
1-((fluoro(methyl)phosphoryl)oxy)-3-isopropoxypropan-2-yl oleate	
1-(1- pentyl-1H-indol-3-yl)-2-(2-methoxyphenyl)ethanone	
1-(1-(4-fluorophenyl)ethyl)-3-((3-methoxy-4-(4-methyl-1H-imidazol-1-yl)phenyl)methylene)-2-piperidinone	
1-(1-(imidazo(1,2-a)pyridin-6-yl)ethyl)-6-(1-methyl-1H-pyrazol-4-yl)-1H-(1,2,3)triazolo(4,5-b)pyrazine	
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea	
1-(1-dimethylaminomethyl-5-methoxybenzocyclobutan-1-yl)cyclohexanol	
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea	
1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine	
1-(1-naphthyl)piperazine	57536-86-4
1-(1-pentyl-1H-indol-3-yl)-2-o-tolylethanone	
1-(1-propynyl)pyrene	
1-(1,3-carboxypropyl)-4,7-carboxymethyl-1,4,7-triazacyclononane	
1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one	
1-(1H-indol-3-yl)-3-(3H-indol-3-ylidene)propan-2-one	
1-(1H-indol-3-yl)-9H-pyrido(3,4-b)indole	
1-(2 (diphenylmethoxy)ethyl)-4-(3-phenylpropyl)piperazine	
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine	
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea	
1-(2-(2-(3,4-dichlorophenyl)-4-(3,4,5-trimethoxybenzoyl)morpholin-2-yl)ethyl)spiro(benzo(c)thiophene-1(3H),4'-piperidine)-2-oxide	
1-(2-(2-thienyl)-2-adamantyl) morpholine	
1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole	130495-35-1
1-(2-(3-methoxyphenyl)ethyl)phenoxy-3-(dimethylamino)-2-propanol	127003-40-1
1-(2-(3,4-dichlorophenyl)ethyl)-4-methylpiperazine	
1-(2-(diphenylmethoxy)ethyl)-4-(3-phenyl-2-propenyl)piperazine	67469-57-2
1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile	
1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea	
1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one	
1-(2-chloroethyl)-1-nitrosourea	2365-30-2
1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole	
1-(2-cyclohexylethyl)-3-(2-methoxyphenylacetyl)indole	
1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide	
1-(2-hydroxyethyl)-1-nitrosourea	13743-07-2
1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane	
1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine	115338-32-4
1-(2-methoxyphenyl)piperazine	35386-24-4
1-(2-methyl-4-methoxyphenyl)-4-((2-hydroxyethyl)amino)-6-trifluoromethoxy-2,3-dihydropyrrolo(3,2-c)quinoline	
1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea	
1-(2-thienyl)-2-(methylamino)propane	
1-(2-trifluoromethoxyphenyl)-2-nitroethanone	
1-(2-trifluoromethylphenyl)imidazole	25371-96-4
1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole	
1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine	
1-(2,3-dihydrobenzo(b)(1,4)dioxin-6-yl)-4-((6-fluoropyridin-3-yl)methyl)piperazine	
1-(2,4-dichlorobenzyl)indazole-3-carbohydrazide	
1-(2,6-dimethylphenoxy)-2-(3,4-dimethoxyphenylethylamino)propane	113346-50-2
1-(3-((2-(dimethylamino)ethyl)carbamoyl)phenyl)-3-(4-(bis(2-chloroethyl)amino)phenyl)urea	
1-(3-((4-(2-fluorophenyl)piperazin-1-yl)methyl)-4-methoxyphenyl)-2,3,4,9-tetrahydro-1H-pyrido(3,4-b)indole-3-carboxylic acid	
1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate	
1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone	
1-(3-(4-phenoxyphenoxy)-2-oxopropyl)indole-5-carboxylic acid	
1-(3-(5-(1,2,4-triazol-4-yl)-1H-indol-3-yl)propyl)-4-(2-(3-fluorophenyl)ethyl)piperazine	
1-(3-(trifluoromethyl)pyridin-2-yl)-N-(4-(trifluoromethylsulfonyl)phenyl)-1,2,3,6-tetrahydropyridine-4-carboxamide	
1-(3-benzyl-2-imino-2,3-dihydro-1H-benzo(d)imidazol-1-yl)-3-(p-tolyloxy)propan-2-ol	
1-(3-chlorophenyl)biguanide	48144-44-1
1-(3-chlorophenyl)piperazine	6640-24-0
1-(3-trifluoromethylphenyl)piperazine	15532-75-9
1-(3,4-dihydro-6,7-dimethoxy-2(1H)-isoquinolinyl)-3,3-dimethyl-2-((4-pyridinylmethyl)amino)-1-butanone	
1-(3,4-dihydroxyphenyl)-2-thiocyanate-ethanone	
1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one	
1-(3',4'-dichloro-2-fluoro(1,1'-biphenyl)-4-yl)cyclopropanecarboxylic acid	
1-(3',4',5'-trimethoxyphenyl)-3-(3'',4''-dimethoxy-2'-hydroxyphenyl)propane	
1-(3',5'-dihydroxyphenoxy)-7-(2'',4'',6''-trihydroxyphenoxy)-2,4,9-trihydroxydibenzo-1,4,-dioxin	
1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one	
1-(4-((4-phenyl-5-trifluoromethyl-2-thienyl)methoxy)benzyl)azetidine-3-carboxylic acid	
1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol	
1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol	
1-(4-(2-(diphenylmethoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol	
1-(4-(4-(3,3-dibutyl-7-(dimethylamino)-2,3,4,5-tetrahydro-4-hydroxy-1,1-dioxido-1-benzothiepin-5-yl)phenoxy)butyl)-4-aza-1-azoniabicyclo(2.2.2)octane	
1-(4-(4-propionylpiperazin-1-yl)-3-(trifluoromethyl)phenyl)-9-(quinolin-3-yl)benzo(h)(1,6)naphthyridin-2(1H)-one	
1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone	
1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid	
1-(4-(furo(2,3-b)quinolin-4-ylamino)phenyl)ethanone	
1-(4-(octahydropyrido(1,2-a)pyrazin-2-yl)phenyl)-2-phenyl-1,2,3,4-tetrahydroisoquinolin-6-ol	
1-(4-bromophenylaminocarbonyl)-4,5-diphenyl-3-pyrazolidinone	138932-35-1
1-(4-carbamoylpyridinium)-4-(4-hydroxyiminomethylpyridinium)but-2-ene	
1-(4-chlorobenzoyl)-5-methoxy-1H-indole-3-acetic acid morpholineamide	
1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester	
1-(4-chlorophenyl)-3-(3-(4-chlorophenyl)-5,5-dimethyl-1-(3-(5-nitrofuran-2-yl)allyldienehydrazinocarbonylmethyl)-2-oxoimidazolidin-4-yl)-1-hydroxyurea	
1-(4-chlorophenyl)-3-(3-(6-pyrrolidin-1-ylpyridin-2-yl)phenyl)urea	
1-(4-chlorophenyl)-benzo-2,5-quinone	
1-(4-chlorophenyl)piperazine	38212-33-8
1-(4-dimethylaminomethylphenyl)-8,9-dihydro-7H-2,7,9a-benzo(cd)azulen-6-one	
1-(4-ethoxyphenyl)-3-(4-nitrophenyl)-prop-2-en-1-one	
1-(4-ethylphenyl-)-N-((2-methoxyphenyl)methyl) propane-2-amine	
1-(4-ethynylphenyl)-4-propyl-2,6,7-trioxabicyclo(2.2.2)octane	108614-26-2
1-(4-fluorobenzoyl)-3-(((6-methoxy-2-naphthyl)oxy)methyl)azetidine-3-carboxylic acid	
1-(4-hydroxyiminomethylpyridinium)-3-(carbamoylpyridinium) propane dibromide	
1-(4-hydroxyiminomethylpyridinium)-3-pyridiniumpropane	
1-(4-hydroxyiminomethylpyridinium)-4-(4-carbamoylpyridinium)butane	
1-(4-hydroxyphenyl)-1,2-diphenyl-1-butene	68684-63-9
1-(4-methoxyphenyl)piperazine	
1-(4-methylphenyl)propane-2-amine	
1-(4-nitro-2-(trifluoromethyl)phenyl)-4-(3-(trifluoromethyl)phenyl)piperazine	
1-(5-(2-thenyloxy)-1H-indol-3-yl)propan-2-amine	
1-(5-(4-chlorophenyl)-4-(4-pyridinyl)-1H-pyrazol-3-yl)-4-methylpiperazine	
1-(5-azido-6-chloropyridin-3-ylmethyl)-2-nitroiminoimidazolidine	
1-(5-chloro-1-((2,4-dimethoxyphenyl)sulfonyl)-3-(2-methoxyphenyl)-2-oxo-2,3-dihydro-1H-indol-3-yl)-4-hydroxy-N,N-dimethyl-2-pyrrolidinecarboxamide	
1-(5-chloro-2,4-dimethoxyphenyl)-3-(5-methylisoxazol-3-yl)urea	
1-(5-chloro-6-(trifluoromethoxy)-1H-benzoimidazol-2-yl)-1H-pyrazole-4-carboxylic acid	
1-(5-fluoropentyl)-3-(1-naphthoyl)indole	
1-(5-fluoropentyl)-3-(4-methyl-1-naphthoyl)indole	
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	84477-87-2
1-(5-isoquinolinylsulfonyl)-3-methylpiperazine	84477-73-6
1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea	
1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione	112648-68-7
1-(7-(2-chlorophenyl)-8-(4-chlorophenyl)-2-methylpyrazolo(1,5-a)-(1,3,5)triazin-4-yl)-3-ethylaminoazetidine-3-carboxylic acid amide	
1-(8-bromobenzo(1,2-b;4,5-b')difuran-4-yl)-2-aminopropane	
1-(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-(3-methylpenta-2,4-dien-1-yl)naphtho(1,8a-c)furan-3,5-diyl dibutanoate	
1-(alpha,apha-dimethylbenzyl)-3-(4-methylphenyl)urea	
1-(beta-naphthylmethyl)-6,7-dihydroxy-1,2,3,4-tetra-hydroisoquinoline	
1-(carboxymethyl)-3,5-diphenyl-2-methylbenzene	
1-(carboxymethylthio)tetradecane	
1-(cyclohexylmethyl)-1H-indole-3-carboxylic acid 8-quinolinyl ester	
1-(isopropylamino)-3-((4-propenyl-2-methoxy)phenoxy)-2-propanol	
1-(methanesulfonamido-1-naphthyloxy)-2-(N-(4-methane sulfonamidophenethyl)-N-acetamido)ethane	
1-(methylimino-N-oxy)-6-(2-morpholinoethoxy)-3-phenyl-1H-indene-2-carboxylic acid ethyl ester	
1-(N-(3-ammoniopropyl)-N-(n-propyl)amino)diazen-1-ium-1,2-diolate	
1-(propoxymethyl)maleimide	
1-(quinoxalin-6-ylcarbonyl)piperidine	
1-(saligenin cyclic phospho)-9-biotinyldiaminononane	158040-84-7
1-3-methylbutyryl-N4-6-aminohexanoyl-piperazine	
1-acetonaphthone	
1-acyl-2-(12-((7-nitrobenz-2-oxa-1,3-diazol-4-yl)amino)dodecanoyl)phosphatidylcholine	
1-amino-1,3-dicarboxycyclopentane	111900-32-4
1-amino-2-phosphonomethylcyclopropanecarboxylic acid	
1-amino-2,4-dibromoanthraquinone	81-49-2
1-amino-4-(3-(4,6-dichloro(1,3,5)triazine-2-ylamino)phenylamino)-9,10-dioxo-9,10-dihydroanthracene-2-sulfonate	
1-amino-4-hydroxyanthraquinone	116-85-8
1-amino-8-nitropyrene	30269-02-4
1-aminoanthracene	610-49-1
1-aminoanthraquinone	82-45-1
1-aminobenzotriazole	1614-12-6
1-aminocyclopentane-1,2,4-tricarboxylic acid	
1-aminocyclopropanol	54376-44-2
1-aminoindan-1,5-dicarboxylic acid	
1-aminomethylphosphonic acid	1066-51-9
1-aminopyrene	1606-67-3
1-anilino-8-naphthalenesulfonate	
1-benzyl-1,4-dihydronicotinamide	
1-benzylimidazole	4238-71-5
1-benzylpiperazine	2759-28-6
1-benzylpiperidine	2905-56-8
1-bromo-2,4-dinitrobenzene	584-48-5
1-bromo-2,5-bis(4-hydroxystyryl)benzene	
1-bromohexane	111-25-1
1-bromopropane	106-94-5
1-Butanol	71-36-3
1-butyl-3-methylimidazolium nitrate	
1-butyl-8-(3-noradamantyl)-3-(3-hydroxypropyl)xanthine	
1-butyrylglycerol	26999-06-4
1-carboxyheptylimidazole	68887-68-3
1-carboxysalsoline	88598-26-9
1-carboxysalsolinol	57256-34-5
1-chloro-2,4-dinitrobenzene-glutathione conjugate	
1-chloro-4-(2,2-dichloro-1-(4-chlorophenyl)ethenyl)-3-(methylsulfonyl)benzene	62938-14-1
1-chloro-4-(trifluoromethyl)benzene	
1-chloronaphthalene	90-13-1
1-chloropyrene	34244-14-9
1-chlorosucrose	64644-62-8
1-cyano-2-hydroxy-3-butene	27451-36-1
1-cyclohexyl-4-(3-(5-methoxy-1,2,3,4-tetrahydro-naphthalen-1-yl)-propyl)-piperazine	
1-cyclohexyl-4-(3-(5-methoxy-1,2,3,4-tetrahydronaphthalen-1-yl)-n-propyl)piperazine	
1-cyclohexylethylamine	4352-49-2
1-cyclopropyl-3-(3-(5-morpholin-4-ylmethyl-1H-benzoimidazol-2-yl)-1H-pyrazol-4-yl)urea	
